fire_id,burned,key,value
2018_10,0,mean_pine,99.9726791381836
2018_11,0,mean_pine,72.40724690755208
2018_12,0,mean_pine,86.92914581298828
2018_13,0,mean_pine,52.552371978759766
2018_14,0,mean_pine,43.7398567199707
2018_15,0,mean_pine,63.6390380859375
2018_16,0,mean_pine,86.16016387939453
2018_17,0,mean_pine,84.76414489746094
2018_18,0,mean_pine,55.88865661621094
2018_19,0,mean_pine,114.28656768798828
2018_20,0,mean_pine,0
2018_21,0,mean_pine,27.874570846557617
2018_22,0,mean_pine,73.808380126953125
2018_23,0,mean_pine,69.19511413574219
2018_24,0,mean_pine,31.22163200378418
2018_25,0,mean_pine,38.78437042236328
2018_26,0,mean_pine,64.1000747680664
2018_27,0,mean_pine,43.22792053222656
2018_28,0,mean_pine,84.03113555908203
2018_29,0,mean_pine,16.682588577270508
2018_30,0,mean_pine,16.854711532592773
2018_31,0,mean_pine,36.01094436645508
2018_32,0,mean_pine,54.37685012817383
2018_33,0,mean_pine,29.983928680419922
2018_34,0,mean_pine,61.75878143310547
2018_35,0,mean_pine,44.05632019042969
2018_36,0,mean_pine,28.887954711914063
2018_37,0,mean_pine,40.81625747680664
2018_38,0,mean_pine,36.70087718963623
2018_39,0,mean_pine,34.47420644760132
2018_40,0,mean_pine,88.39336395263672
2018_41,0,mean_pine,48.052032470703125
2018_42,0,mean_pine,29.689817428588867
2018_43,0,mean_pine,39.133018493652344
2018_44,0,mean_pine,33.55366516113281
2018_45,0,mean_pine,45.126319885253906
2018_46,0,mean_pine,20.338788986206055
2018_47,0,mean_pine,16.563701629638672
2018_48,0,mean_pine,36.66817855834961
2018_49,0,mean_pine,28.907747268676758
2018_50,0,mean_pine,41.0638427734375
2018_51,0,mean_pine,25.3067569732666
2018_52,0,mean_pine,39.41368865966797
2018_53,0,mean_pine,86.19151306152344
2018_54,0,mean_pine,45.10768127441406
2018_55,0,mean_pine,0
2018_56,0,mean_pine,61.76512145996094
2018_57,0,mean_pine,39.881717681884766
2018_58,0,mean_pine,69.192108154296875
2018_59,0,mean_pine,58.44694137573242
2019_01,0,mean_pine,20.419262886047363
2019_02,0,mean_pine,56.82755661010742
2019_03,0,mean_pine,74.9876480102539
2019_04,0,mean_pine,76.08954238891602
2019_05,0,mean_pine,76.17174530029297
2019_06,0,mean_pine,89.73894500732422
2020_01,0,mean_pine,90.85015869140625
2020_02,0,mean_pine,109.21622467041016
2020_03,0,mean_pine,66.873565673828125
2020_04,0,mean_pine,0
2020_05,0,mean_pine,72.02705383300781
2020_06,0,mean_pine,6.388856887817383
2020_07,0,mean_pine,109.697998046875
2020_08,0,mean_pine,46.43197250366211
2020_09,0,mean_pine,45.33491134643555
2021_01,0,mean_pine,21.828569412231445
2021_02,0,mean_pine,50.19837760925293
2021_03,0,mean_pine,74.08780670166016
2021_04,0,mean_pine,40.144775390625
2021_05,0,mean_pine,32.495323181152344
2021_06,0,mean_pine,47.33845520019531
2021_07,0,mean_pine,73.29344367980957
2021_08,0,mean_pine,39.21891136169434
2021_09,0,mean_pine,65.59730275472005
2021_10,0,mean_pine,93.861968994140625
2022_01,0,mean_pine,52.43222427368164
2022_02,0,mean_pine,108.6530990600586
2022_03,0,mean_pine,85.46092224121094
2022_04,0,mean_pine,78.61566162109375
2014_01,1,mean_decid,0.14537313580513
2016_01,1,mean_decid,0
2016_02,1,mean_decid,0
2016_03,1,mean_decid,0
2016_04,1,mean_decid,0
2016_05,1,mean_decid,0
2016_06,1,mean_decid,0
2016_07,1,mean_decid,0
2016_08,1,mean_decid,0
2016_09,1,mean_decid,0
2016_10,1,mean_decid,0
2016_11,1,mean_decid,0
2017_01,1,mean_decid,0
2017_02,1,mean_decid,0
2017_03,1,mean_decid,0
2017_04,1,mean_decid,0
2017_05,1,mean_decid,0
2017_06,1,mean_decid,0
2017_07,1,mean_decid,0
2017_08,1,mean_decid,0.0386604480445385
2017_09,1,mean_decid,0.6129423379898071
2018_01,1,mean_decid,1.1164661645889282
2018_02,1,mean_decid,3.557511568069458
2018_03,1,mean_decid,1.0175303220748901
2018_05,1,mean_decid,0
2018_06,1,mean_decid,0
2018_07,1,mean_decid,0
2018_08,1,mean_decid,0
2018_10,1,mean_decid,0
2018_11,1,mean_decid,0
2018_12,1,mean_decid,0
2018_13,1,mean_decid,0
2018_14,1,mean_decid,0
2018_15,1,mean_decid,0
2018_16,1,mean_decid,0
2018_17,1,mean_decid,0
2018_18,1,mean_decid,0
2018_19,1,mean_decid,0
2018_20,1,mean_decid,0
2018_21,1,mean_decid,0
2018_22,1,mean_decid,0
2018_23,1,mean_decid,0
2018_24,1,mean_decid,0
2018_25,1,mean_decid,0
2018_26,1,mean_decid,0
2018_27,1,mean_decid,0
2018_28,1,mean_decid,0
2018_29,1,mean_decid,0
2018_30,1,mean_decid,0
2018_31,1,mean_decid,0
2018_32,1,mean_decid,0
2018_33,1,mean_decid,0
2018_34,1,mean_decid,0
2018_35,1,mean_decid,0
2018_36,1,mean_decid,0
2018_37,1,mean_decid,0
2018_38,1,mean_decid,0
2018_39,1,mean_decid,0
2018_40,1,mean_decid,0
2018_41,1,mean_decid,0
2018_42,1,mean_decid,0
2018_43,1,mean_decid,0
2018_44,1,mean_decid,0
2018_45,1,mean_decid,0
2018_46,1,mean_decid,0
2018_47,1,mean_decid,0
2018_48,1,mean_decid,0
2018_49,1,mean_decid,0
2018_50,1,mean_decid,0
2018_51,1,mean_decid,0
2018_52,1,mean_decid,0
2018_53,1,mean_decid,0
2018_54,1,mean_decid,0
2018_55,1,mean_decid,0
2018_56,1,mean_decid,0
2018_57,1,mean_decid,0
2018_58,1,mean_decid,0
2018_59,1,mean_decid,0
2019_01,1,mean_decid,16.50738271077474
2019_02,1,mean_decid,0.4191894233226776
2019_03,1,mean_decid,0
2019_04,1,mean_decid,0.05242078751325607
2019_05,1,mean_decid,0.03505517169833183
2019_06,1,mean_decid,0.0335313081741333
2020_01,1,mean_decid,0.3136843740940094
2020_02,1,mean_decid,0.8131130337715149
2020_03,1,mean_decid,0
2020_04,1,mean_decid,0
2020_05,1,mean_decid,0
2020_06,1,mean_decid,0
2020_07,1,mean_decid,0
2020_08,1,mean_decid,0
2020_09,1,mean_decid,0
2021_01,1,mean_decid,0
2021_02,1,mean_decid,0
2021_03,1,mean_decid,0
2021_04,1,mean_decid,0
2021_05,1,mean_decid,0
2021_06,1,mean_decid,0
2021_07,1,mean_decid,0
2021_08,1,mean_decid,0
2021_09,1,mean_decid,0
2021_10,1,mean_decid,1.1383734941482544
2022_01,1,mean_decid,0
2022_02,1,mean_decid,0
2022_03,1,mean_decid,0
2022_04,1,mean_decid,0
2014_01,0,mean_decid,0.26162979006767273
2016_01,0,mean_decid,0
2016_02,0,mean_decid,0
2016_03,0,mean_decid,0
2016_04,0,mean_decid,0
2016_05,0,mean_decid,0
2016_06,0,mean_decid,0
2016_07,0,mean_decid,0
2016_08,0,mean_decid,0
